framework,path,compileSdkVersion,targetSdkVersion,minSdkVersion
android,repositories/googlesamples/android-LNotifications/Application/build.gradle,27,22,21
android,repositories/googlesamples/android-JobScheduler/build.gradle,,,
android,repositories/googlesamples/android-JobScheduler/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-JobScheduler/kotlinApp/build.gradle,,,
android,repositories/googlesamples/android-JobScheduler/kotlinApp/app/build.gradle,27,27,21
android,repositories/googlesamples/android-ImmersiveMode/build.gradle,,,
android,repositories/googlesamples/android-ImmersiveMode/Application/build.gradle,27,27,11
android,repositories/googlesamples/android-HorizontalPaging/build.gradle,,,
android,repositories/googlesamples/android-HorizontalPaging/Application/build.gradle,27,27,11
android,repositories/googlesamples/android-HdrViewfinder/build.gradle,,,
android,repositories/googlesamples/android-HdrViewfinder/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-GridViewPager/build.gradle,,,
android,repositories/googlesamples/android-GridViewPager/Wearable/build.gradle,27,25,24
android,repositories/googlesamples/android-Geofencing/build.gradle,,,
android,repositories/googlesamples/android-Geofencing/Application/build.gradle,27,22,18
android,repositories/googlesamples/android-Geofencing/Wearable/build.gradle,27,22,18
android,repositories/googlesamples/android-FloatingActionButtonBasic/build.gradle,,,
android,repositories/googlesamples/android-FloatingActionButtonBasic/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-Flashlight/build.gradle,,,
android,repositories/googlesamples/android-Flashlight/Wearable/build.gradle,27,22,18
android,repositories/googlesamples/android-FingerprintDialog/build.gradle,,,
android,repositories/googlesamples/android-FingerprintDialog/Application/build.gradle,26,26,23
android,repositories/googlesamples/android-FingerprintDialog/kotlinApp/build.gradle,,,
android,repositories/googlesamples/android-FingerprintDialog/kotlinApp/app/build.gradle,27,27,24
android,repositories/googlesamples/android-FindMyPhone/build.gradle,,,
android,repositories/googlesamples/android-FindMyPhone/Application/build.gradle,27,23,18
android,repositories/googlesamples/android-FindMyPhone/Wearable/build.gradle,27,22,18
android,repositories/googlesamples/android-ElizaChat/build.gradle,,,
android,repositories/googlesamples/android-ElizaChat/Application/build.gradle,27,23,18
android,repositories/googlesamples/android-ElevationDrag/build.gradle,,,
android,repositories/googlesamples/android-ElevationDrag/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-ElevationBasic/build.gradle,,,
android,repositories/googlesamples/android-ElevationBasic/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-DrawableTinting/build.gradle,,,
android,repositories/googlesamples/android-DrawableTinting/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-DragAndDropAcrossApps/build.gradle,,,
android,repositories/googlesamples/android-DragAndDropAcrossApps/DropTarget/build.gradle,24,24,24
android,repositories/googlesamples/android-DragAndDropAcrossApps/DragSource/build.gradle,24,24,24
android,repositories/googlesamples/android-DownloadableFonts/build.gradle,,,
